Alias,Mailbox,Type,Whitelisted IP Address,Inbox,Outbox,URL,Cleo Server,Customer
supertest8, supertest8, FTP, 127.0.0.1, \root\nick\in, \root\nick\out, redtoad.com, DC, RedToad Corp
supertest7, supertest7, FTP, 127.0.0.1, \root\nick\in, \root\nick\out, redtoad.com, DC, RedToad Corp
supertest6, supertest6, FTP, 127.0.0.1, \root\nick\in, \root\nick\out, redtoad.com, DC, RedToad Corp
supertest5, supertest5, FTP, 127.0.0.1, \root\nick\in, \root\nick\out, redtoad.com, DC, RedToad Corp
supertest4, supertest4, FTP, 127.0.0.1, \root\nick\in, \root\nick\out, redtoad.com, DC, RedToad Corp
supertest3, supertest3, FTP, 127.0.0.1, \root\nick\in, \root\nick\out, redtoad.com, DC, RedToad Corp
supertest2, supertest2, FTP, 127.0.0.1, \root\nick\in, \root\nick\out, redtoad.com, DC, RedToad Corp
supertest, supertest, FTP, 127.0.0.1, \root\nick\in, \root\nick\out, redtoad.com, DC, RedToad Corp
123 Load Board Accounts,RoadRunner 123LB,FTP Pull/Push\123 Load Board,['N/A'],inbox\,outbox\,ftp.123loadboard.com,Cary Prod1,123LoadBoard
123 Load Board Accounts,Ryder Brokerage 123LB,FTP Pull/Push\123 Load Board,['N/A'],inbox\,outbox\,ftp.123loadboard.com,Cary Prod1,123LoadBoard
123 Load Board Accounts,Three Dog Logistics 123LB,FTP Pull/Push\123 Load Board,['N/A'],inbox\,outbox\,ftp.123loadboard.com,Cary Prod1,123LoadBoard
123 Load Board Accounts,Wagner 123LB,FTP Pull/Push\123 Load Board,['N/A'],inbox\,outbox\,ftp.123loadboard.com,Cary Prod1,123LoadBoard
123 Load Board Accounts,JB Hunt 123LB,FTP Pull/Push\123 Load Board,['N/A'],inbox\,outbox\,ftp.123loadboard.com,Cary Prod1,123LoadBoard
123 Load Board Accounts,El Hollingsworth 123LB,FTP Pull/Push\123 Load Board,['N/A'],inbox\,outbox\,ftp.123loadboard.com,Cary Prod1,123LoadBoard
123 Load Board Accounts,South Eastern Freight Lines 123LB,FTP Pull/Push\123 Load Board,['N/A'],inbox\,outbox\,ftp.123loadboard.com,Cary Prod1,123LoadBoard
123LoadBoard,Bedrock Logistics 123LB,FTP Pull/Push\123LoadBoard,['N/A'],inbox\,outbox\,ftp.123loadboard.com,ATL Prod,123LoadBoard
128004171844 Syncada Langham - Walmart EM:210,128004171844,AS2 Customers\Syncada,['N/A'],%com1%\dispatch\Langham-Syncada\Test\Inbound\,%com1%\dispatch\Langham-Syncada\Test\Outbound\,dataexchange.syncada.com,Cary QA,Langham
1AIntermodal-PE,1AIntermodal-PE Push,FTP Pull/Push\PostEverywhere,['N/A'],inbox\,%com1%\Dispatch\1AIntermodal\posteverywhere\,ftp.posteverywhere.com,Cary Prod1,PostEveryWhere
Accelerated International,Accelerated International Push,FTP Pull/Push,['N/A'],inbox\,%com1%\dispatch\AcceleratedIntl\Prod\Outbound\,70.91.253.220,Cary Prod1,
Accenture - Barilla,accenture,SFTP Pull/Push,['N/A'],\\10.27.12.205\customerdata\Accenture\CDATA\Barilla\QA\Queue\,\\10.27.12.205\Dispatch\Accenture\CDATA\Barilla\Test\Outbound\,83.217.240.69,Cary QA,
AFNLogistics-BI,AFN Logistics,FTP Pull/Push\Afn Logistics,['N/A'],%com1%\Dispatch\AFNLogistics\Prod\Inbound\,%com1%\Dispatch\AFNLogistics\Prod\Outbound\,ftp.afnww.com,ATL Prod,AFN Logistics
AFNLogistics-BIQA,myMailbox,FTP Pull/Push\AFN Logistics,['N/A'],%miacom1%\dispatch\AFNLogistics\Test\Inbound\,%miacom1%\dispatch\AFNLogistics\Test\Outbound\,ftp.afnww.com,MIA QA,AFN Logistics
AFNLogistics-McLeod,myMailbox,FTP Pull/Push\Afn Logistics,['N/A'],%com1%\dispatch\AFNLogistics-McLeod\Prod\Inbound\,%com1%\dispatch\AFNLogistics-McLeod\Prod\Outbound\,ftp.afnww.com,Cary Prod1,AFN Logistics
AFNLogistics-MZBUSA,myMailbox,AS2 Customers,['N/A'],\\miacom1\CustomerData\AFNLogistics-MZBUSA\QA\Queue\,%com1%\Dispatch\AFNLogistics-MZBUSA\Test\Outbound\,as2.mzb-usa.com,Cary QA,AFN Logistics
AFNLogistics-QA,myMailbox,FTP Pull/Push\AFN Logistics,['N/A'],%miacom1%\Dispatch\AFNLogistics-McLeod\Test\Inbound\,%miacom1%\Dispatch\AFNLogistics-McLeod\Test\Outbound\,ftp.afnww.com,MIA QA,AFN Logistics
AFNLogistics,myMailbox,FTP Pull/Push\Afn Logistics,['N/A'],%com1%\Dispatch\AFNLogistics\Prod\Inbound\,%com1%\Dispatch\AFNLogistics\Prod\Outbound\,ftp.afnww.com,Cary Prod1,AFN Logistics
Agility Logistics (RockFarm),myMailbox,AS2 Customers,['N/A'],%miacom1%\Dispatch\Agility-Rockfarm\Test\Inbound\,%miacom1%\Dispatch\Agility-Rockfarm\Test\Outbound\,staging1.b2bi.agility.com,MIA QA,Agility Logistics
AIM-Ryder,RyderFBAP,FTP Pull/Push\Ryder,['N/A'],%com1%\CustomerData\AIMLog\QA\Queue\,%com1%\CustomerData\AIMLog\Queue\outbound\RyderTest\,168.218.95.131,Cary QA,Ryder
AIT WorldWide,AIT,FTP Pull/Push,['N/A'],%cryfs1%\Dispatch\AIT\prod\Inbound\,%cryfs1%\Dispatch\AIT\prod\Outbound\,ftp.aitworldwide.com,Cary Prod1,AIT Worldwide
Alliance-PE,Alliance-PE Push,FTP Pull/Push\PostEverywhere,['N/A'],inbox\,%com1%\dispatch\AllianceLogistics\Prod\Outbound\PostEverywhere\,ftp.posteverywhere.com,Cary Prod1,PostEveryWhere
AMCOR-FREIGHTRATE,AMCOR-FREIGHTRATE Pull,FTP Pull/Push,['N/A'],%com1%\customerdata\Amcor\Queue\,outbox\,ftp.amcorpet.com,Cary Prod1,Amcor PET
Amcor,Amcor Pull/Push,SFTP Pull/Push,['N/A'],inbox\,outbox\,170.225.94.77,Cary Prod1,Amcor PET
AmericanStandard - Intelek - Brokerage,AMSTAN-TESTAS2,AS2 Customers,['N/A'],%miacom1%\Dispatch\AmericanStandard-Intelek\Test\Inbound\,%miacom1%\Dispatch\AmericanStandard-Intelek\Test\Outbound\,gateway.intelektechnologies.com,MIA QA,American Standard
AmericanStandard-FTP Push,Amstan,FTP Pull/Push\Transcore,['N/A'],F:\,F:\,ftp.dat.com,ATL Prod,Transcore
AmericanStandard-NA-FTP Push-RateIndex,Amstan,FTP Pull/Push\Transcore,['N/A'],F:\,F:\,na-ftp.dat.com,ATL Prod,Transcore
AmericanStandard-Railinc,myMailbox,FTP Pull/Push,['N/A'],%miacom1%\customerdata\Amstan\QA\,%miacom1%\dispatch\AmericanStandard-Railinc\Test\Outbound\,mft.railinc.com,MIA QA,American Standard
AmericanStandard-Sears-Can,myMailbox,FTP Pull/Push,['N/A'],%com1%\Dispatch\AmericanStandard-Sears-Can\Prod\Inbound\,%com1%\Dispatch\AmericanStandard-Sears-Can\Prod\Outbound\,ftpssl.gateway.inovisworks.net,Cary Prod1,American Standard
AmericanStandard,AMSTAN-AS2,AS2 Customers,['N/A'],%atlfs1%\Dispatch\AmericanStandard-Intelek\Prod\Inbound\,%atlfs1%\Dispatch\AmericanStandard-Intelek\Prod\Outbound\,gateway.intelektechnologies.com,ATL Prod,American Standard
Amstan - CSX,Amstan-CSX,FTP Pull/Push\CSX,['N/A'],inbox\,outbox\,ftp-b2bp.csx.com,Cary Prod1,
ArcBest (ABF),myMailbox,SFTP Pull/Push,['N/A'],%miacom1%\CustomerData\Arcbest\QA\Queue\,%miacom1%\Dispatch\Arcbest\Test\Outbound\,ftp.data-tronics.com,MIA QA,ArcBest
ArjoHuntleigh,ArjoHuntleigh Push/Pull,FTP Pull/Push,['N/A'],%com1%\Dispatch\ArjoHuntleigh\Prod\Inbound\,%com1%\Dispatch\ArjoHuntleigh\Prod\Outbound\,ftp.getingeusa.com,Cary Prod1,
Armada - Lessors,126517899270,AS2 Customers\Armada,['N/A'],%com1%\Dispatch\LSOR-LessorsInc\Test\Inbound,%com1%\Dispatch\LSOR-LessorsInc\Test\Outbound\,mail.lessorsinc.com,Cary QA,ARMADA (LXP)
Armada-SPSCommerce,Armada,AS2 Customers,['N/A'],%miacom1%\CustomerData\Armada\QA\Queue\,%miacom1%\Dispatch\Armada-SPSCommerce\Test\Outbound\,as2c3.spsc.io,MIA QA,ARMADA (LXP)
Armada,ArmadaSCS,AS2 Customers\Armada,['N/A'],%com1%\customerdata\Armada\QA\Queue\,%com1%\dispatch\LXPFreight-Armada\Test\Outbound\,edi-test.armada.net,Cary QA,ARMADA (LXP)
Aspen-Ryder,Aspen-Ryder Push,FTP Pull/Push\Ryder,['N/A'],inbox\,%com1%\CustomerData\Aspen\Queue\outbound\Ryder210\,168.218.95.131,Cary QA,Ryder
ASTNYC-PE,ASTNYC-PE Push,FTP Pull/Push\PostEverywhere,['N/A'],%com1%\Dispatch\AST-NYC\Test\Inbound\,%com1%\Dispatch\AST-NYC\PostEvery\,ftp.posteverywhere.com,Cary Prod1,PostEveryWhere
ATL to DR Test FTP,ATL-DR Test FTP,FTP Pull/Push,['N/A'],%atlfs1%\Dispatch\EmirTest\Test\Inbound\,%atlfs1%\Dispatch\EmirTest\Test\Outbound\,cleodx1.mercurygate.net,ATL Prod,
ATL to DR Test SFTP,ATL-DR Test sFTP,SFTP Pull/Push,['N/A'],%atlfs1%\Dispatch\EmirTest\Test\Inbound\,%atlfs1%\Dispatch\EmirTest\Test\Outbound\,cleodx1.mercurygate.net,ATL Prod,
ATLProd Test,myMailbox,AS2 Customers,['N/A'],%com1%\customerdata\marktest\,%com1%\customerdata\marktest\Outbound\,atlcom.mercurygate.net,Cary Prod1,
Baker&Taylor Carrier Inv,Baker&Taylor Carrier Inv Push,FTP Pull/Push\Baker&Taylor,['N/A'],inbox\,%com1%\dispatch\BakerTaylor\Test\Outbound\Carrier_Inv\,ftp.baker-taylor.com,Cary QA,BAKER & Taylor
Baker&Taylor EDW Extracts,Baker&Taylor EDW Extracts Push,FTP Pull/Push\Baker&Taylor,['N/A'],inbox\,%com1%\dispatch\BakerTaylor\Test\Outbound\,ftp.baker-taylor.com,Cary QA,BAKER & Taylor
Baker&Taylor MOAV,Baker&Taylor MOAV Push,FTP Pull/Push\Baker&Taylor,['N/A'],inbox\,%com1%\Dispatch\MOAV-Mach1Global\Test\Outbound\,209.95.232.130,Cary QA,BAKER & Taylor
BedBathBeyond,BedBathBeyond Pull,SFTP Pull/Push,['N/A'],%com1%\Dispatch\BedBathBeyond\Test\Inbound\,outbox\,sftp.bedbath.com,Cary QA,Bedrock Logistics
Bedrock Logistics NA-FTP Push,bedrftp,FTP Pull/Push\Transcore,['N/A'],inbox\,%atlfs1%\dispatch\TranscoreTLRateIdx\Prod\Outbound\BedrockLogistics\,na-ftp.dat.com,ATL Prod,Transcore
Belk,myMailbox,AS2 Customers,['N/A'],%com1%\customerdata\Belk\QA\Queue\,%com1%\dispatch\Belk\Test\Outbound\,216.27.47.20,Cary QA,Belk
Bemis-CTLog,Bemis-CTLogistics Push,FTP Pull/Push,['N/A'],inbox\,%com1%\Dispatch\CTLogistics\Prod\Outbound\,ctftps.ctlogistics.com,Cary Prod1,Bemis Company
BF_Logisource,BF_Logisource Push/Pull,FTP Pull/Push\Breakthrough,['N/A'],%com1%\dispatch\Logisource\Test\Inbound\,%com1%\dispatch\Logisource\Test\Outbound\BreakthroughFuel\,d-b2bftp.breakthroughfutures.com,Cary QA,Logisource
BHP Billiton,myMailbox,SFTP Pull/Push,['N/A'],%atlfs1%\customerdata\BHPBilliton\Queue\,%atlfs1%\Dispatch\BHPBilliton-NAShale\Prod\Outbound\,sft.bhpbilliton.com,ATL Prod,BHP Billiton
BIC Mojo,01001166586_MOJO,AS2 Customers\BIC,['N/A'],%com1%\Dispatch\BICWorld-Mojo\Test\Inbound\FileWatchTemp\,%com1%\Dispatch\BICWorld-Mojo\Test\Outbound\,naedi.bicworld.com,Cary QA,BIC North America
BIC,01001166586,AS2 Customers\BIC,['N/A'],%com1%\dispatch\BICWorld\Test\Inbound\,%com1%\dispatch\BICWorld\Test\Outbound\,naedi.bicworld.com,Cary QA,BIC North America
Blue Ribbon - Locuss Traxx,myMailbox,FTP Pull/Push,['N/A'],%com1%\customerdata\BlueRibbon-LocusTraxx\Queue\,%com1%\Dispatch\BlueRibbon-LocusTraxx\Prod\Outbound\,as2live.locustraxx.com,Cary Prod1,Blue Ribbon Transport
BlueRibbon-CaitoFoods,myMailbox,AS2 Customers,['N/A'],%com1%\CustomerData\BlueRibbonTransport\Queue\,%com1%\Dispatch\BlueRibbon-CaitoFoods\Prod\Outbound\,12.37.68.153,Cary Prod1,Blue Ribbon Transport
BlueRibbon-FourKites,FourKites,FTP Pull/Push\BlueRibbon,['N/A'],%com1%\dispatch\BlueRibbon-FourKites\Prod\Inbound\,%com1%\dispatch\BlueRibbon-FourKites\Prod\Outbound\,ftp.truck.fourkites.com,Cary Prod1,Blue Ribbon Transport
